2026-04-07T09:52:47.479+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:53.261+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:52:53.417+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:52:55.879+03:00 | INFO | data.ingestion:322 | Alpaca API: UVXY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:53:01.417+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:53:21.625+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 116560 bars (2024-04-04 → 2024-12-31)
2026-04-07T09:53:21.741+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 116560 bars (2024-04-04 → 2024-12-31)
2026-04-07T09:54:53.311+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:54:53.598+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:54:59.655+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:55:01.817+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:04.181+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:06.226+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:13.662+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:13.677+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:56:15.854+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:56:18.180+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:26.503+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:26.511+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:56:26.971+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:56:30.427+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:56:36.194+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:57:06.939+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:57:07.048+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2026-04-02 → 2026-04-03
2026-04-07T09:57:09.350+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 1 new bars (2026-04-02 → 2026-04-02)
2026-04-07T09:57:16.633+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:57:47.428+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T09:57:47.450+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +0 new bars → 416740 total
2026-04-07T09:57:49.328+03:00 | INFO | reporting.backtest:121 | Backtest START: UVXY | bollinger_rsi | 341,419 bars | lev=1.0x | capital/trade=1000.0
2026-04-07T09:57:52.104+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T10:00:11.996+03:00 | INFO | reporting.backtest:128 | Bulk signal generation complete: 341,419 bars
2026-04-07T10:01:46.814+03:00 | INFO | db.database:105 | Database ready: db\trading.db
2026-04-07T10:01:58.765+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:02:00.781+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:02:35.958+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2024-04-07 → 2026-04-08
2026-04-07T10:02:59.252+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2024-04-09 → 2026-04-08
2026-04-07T10:03:11.765+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2024-04-30 → 2026-04-08
2026-04-07T10:04:02.149+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2024-04-04 → 2026-04-08
2026-04-07T10:06:08.789+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2024-04-04 → 2026-04-04
2026-04-07T10:06:48.900+03:00 | INFO | data.ingestion:322 | Alpaca API: UVXY 1Min → 341419 new bars (2024-04-04 → 2026-04-02)
2026-04-07T10:12:32.636+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:12:32.797+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:13:32.768+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:13:33.979+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:13:36.632+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:13:37.815+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:13.309+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:14.490+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:23.291+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:24.509+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:26.264+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:26.269+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: UVXY 1Min 2025-05-12 → 2026-04-03
2026-04-07T10:14:47.771+03:00 | INFO | data.ingestion:322 | Alpaca API: UVXY 1Min → 158206 new bars (2025-05-12 → 2026-04-02)
2026-04-07T10:14:49.010+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 183214 bars (2024-04-04 → 2025-05-12)
2026-04-07T10:14:56.122+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:14:56.132+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/UVXY/1Min +158205 new bars → 341419 total
2026-04-07T10:14:56.452+03:00 | INFO | data.ingestion:256 | Alpaca FETCH: SPY 1Min 2024-04-04 → 2026-04-03
2026-04-07T10:15:48.770+03:00 | INFO | data.ingestion:322 | Alpaca API: SPY 1Min → 416740 new bars (2024-04-04 → 2026-04-02)
2026-04-07T10:15:57.320+03:00 | INFO | data.cache:116 | Cache SAVED: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:15:57.324+03:00 | INFO | data.cache:154 | Cache APPEND: alpaca/SPY/1Min +416740 new bars → 416740 total
2026-04-07T10:17:33.191+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:17:35.289+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:17:41.562+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:17:43.637+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:17:52.768+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:17:54.837+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/UVXY/1Min — 341419 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:18:02.644+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:18:05.324+03:00 | DEBUG | data.cache:98 | Cache HIT: alpaca/SPY/1Min — 416740 bars (2024-04-04 → 2026-04-02)
2026-04-07T10:18:05.342+03:00 | INFO | data.ingestion:250 | Alpaca CACHE HIT: SPY/1Min — serving 416740 bars from cache, no API call needed
