	symbol	direction	entry_price	exit_price	outcome	return_pct (%)	PnL ($)	entry_time	exit_time
209	UVXY	Long	145.05	144.3114625	SL hit	-0.509160603	-5.891606034	2024-09-09T15:31:00.000	2024-09-09T15:32:00.000
208	UVXY	Long	153	152.4608396	SL hit	-0.352392423	-4.323924227	2024-09-06T18:54:00.000	2024-09-06T18:55:00.000
207	UVXY	Long	151.6	150.1474619	SL hit	-0.958138598	-10.38138598	2024-09-06T17:10:00.000	2024-09-06T17:13:00.000
206	UVXY	Long	155.3	155.0239303	SL hit	-0.177765413	-2.57765413	2024-09-06T17:04:00.000	2024-09-06T17:05:00.000
205	UVXY	Long	156.35	156.1405283	SL hit	-0.133976157	-2.13976157	2024-09-06T16:35:00.000	2024-09-06T16:44:00.000
204	UVXY	Short	134.05	134.7007688	SL hit	-0.485467248	-5.654672482	2024-09-06T13:40:00.000	2024-09-06T13:41:00.000
203	UVXY	Long	132	131.2063337	SL hit	-0.60126233	-6.812623298	2024-09-06T13:01:00.000	2024-09-06T13:30:00.000
202	UVXY	Long	135.5	135.1104631	SL hit	-0.287481084	-3.674810845	2024-09-05T20:02:00.000	2024-09-05T20:05:00.000
201	UVXY	Long	135.75	135.2811073	SL hit	-0.345408986	-4.254089864	2024-09-05T19:33:00.000	2024-09-05T19:34:00.000
200	UVXY	Long	134.05	135.4194892	TP hit	1.021625652	9.416256525	2024-09-05T18:51:00.000	2024-09-05T18:57:00.000
199	UVXY	Long	138.4	137.916195	SL hit	-0.349570074	-4.295700744	2024-09-05T17:45:00.000	2024-09-05T17:46:00.000
198	UVXY	Long	142.45	141.835586	SL hit	-0.43131906	-5.113190605	2024-09-05T16:03:00.000	2024-09-05T16:04:00.000
197	UVXY	Long	135.95	135.2342902	SL hit	-0.526450788	-6.06450788	2024-09-05T14:21:00.000	2024-09-05T14:22:00.000
196	UVXY	Long	138.16	138.0083652	SL hit	-0.109753066	-1.897530659	2024-09-05T14:01:00.000	2024-09-05T14:02:00.000
195	UVXY	Long	146.95	146.0150116	SL hit	-0.636262916	-7.162629164	2024-09-04T19:27:00.000	2024-09-04T19:29:00.000
194	UVXY	Long	134	133.305775	SL hit	-0.518078368	-5.980783677	2024-09-04T14:58:00.000	2024-09-04T15:02:00.000
193	UVXY	Long	138.1	137.9812423	SL hit	-0.085993959	-1.659939592	2024-09-04T14:31:00.000	2024-09-04T14:33:00.000
