variant,trades,long_trades,short_trades,win_rate_pct,mean_return_pct,median_return_pct,compounded_return_pct,max_drawdown_pct,sharpe_ratio,basket,entry_time,exit_time,threshold_pct,breadth_min
median_entry0930_exit1100_thr10_b55,5,2,3,40.0,-0.34218972133487346,-0.1477419354838671,-1.712407641133129,-1.8016991871722676,-0.941941401429618,median,09:30,1100,0.1,0.55
median_entry0930_exit0945_thr25_none,12,7,5,25.0,-0.144365751489436,-0.08902351009411939,-1.7221146680766464,-1.9886151071131786,-1.9940416957924845,median,09:30,0945,0.25,
ew_entry0929_exit1600_thr50_none,4,2,2,75.0,-0.4222864193132164,0.37988034417074446,-1.7224162315862213,-2.9834604754007676,-0.49417307011081374,ew,09:29,1600,0.5,
ew_entry0929_exit1000_thr25_none,12,9,3,8.333333333333332,-0.14467923127393212,-0.12647535580889924,-1.7231231036845096,-1.7231231036845096,-4.345717250295274,ew,09:29,1000,0.25,
ew_entry0929_exit1100_thr15_b55,7,5,2,28.57142857142857,-0.24866801560688576,-0.05936178276359161,-1.7409702503600855,-1.7430345245399548,-0.9878729140886007,ew,09:29,1100,0.15,0.55
ew_entry0929_exit1100_thr20_b55,7,5,2,28.57142857142857,-0.24866801560688576,-0.05936178276359161,-1.7409702503600855,-1.7430345245399548,-0.9878729140886007,ew,09:29,1100,0.2,0.55
median_entry0930_exit1100_thr15_b60,3,1,2,33.33333333333333,-0.5859929508387481,-0.1477419354838671,-1.7571444399518854,-1.8463953438526248,-1.043012182664545,median,09:30,1100,0.15,0.6
median_entry0930_exit1100_thr20_b60,3,1,2,33.33333333333333,-0.5859929508387481,-0.1477419354838671,-1.7571444399518854,-1.8463953438526248,-1.043012182664545,median,09:30,1100,0.2,0.6
median_entry0930_exit1600_thr15_b60,3,1,2,66.66666666666666,-0.5785438520211161,0.8144516129032243,-1.7865591851070728,-3.423811103135921,-0.4066415945735247,median,09:30,1600,0.15,0.6
median_entry0930_exit1600_thr20_b60,3,1,2,66.66666666666666,-0.5785438520211161,0.8144516129032243,-1.7865591851070728,-3.423811103135921,-0.4066415945735247,median,09:30,1600,0.2,0.6
ew_entry0929_exit1100_thr10_b60,9,6,3,44.44444444444444,-0.20092423662980044,-0.008628017578717784,-1.8079940499175162,-1.9296552241919174,-1.0100560963653789,ew,09:29,1100,0.1,0.6
median_entry0929_exit1100_thr10_b55,5,2,3,40.0,-0.3624654615789935,-0.21352425180597645,-1.8117882717494704,-1.8721361065881847,-1.0198356169708473,median,09:29,1100,0.1,0.55
median_entry0929_exit1100_thr15_b60,3,1,2,33.33333333333333,-0.6084423573383627,-0.21352425180597645,-1.822912351860384,-1.8832533496853987,-1.1302687852818412,median,09:29,1100,0.15,0.6
