date,all_count,mega_count,ew_gap_pct,median_gap_pct,breadth_up,breadth_down,mega_gap_pct,qqq_prev_close,qqq_pre_929_close,qqq_open_930,qqq_pm_gap_pct,qqq_open_gap_pct,qqq_close_0945,qqq_close_1000,qqq_close_1100,qqq_close_1600,ew_gap_pct_vs_qqq_pm_pct,ew_gap_pct_vs_qqq_open_pct,mega_gap_pct_vs_qqq_pm_pct,mega_gap_pct_vs_qqq_open_pct,median_gap_pct_vs_qqq_pm_pct,median_gap_pct_vs_qqq_open_pct
2025-10-07,45,9,-0.2930459883145923,-0.07888509071786176,0.4666666666666667,0.5111111111111111,0.28439588431699764,606.76,606.24,606.24,-0.08570110092952499,-0.08570110092952499,606.3,606.22,606.18,603.08,-0.2073448873850673,-0.2073448873850673,0.3700969852465226,0.3700969852465226,0.006816010211663226,0.006816010211663226
2025-10-08,49,9,0.34995684822158596,0.35695629461953704,0.673469387755102,0.32653061224489793,0.11257929965920639,603.08,603.95,603.89,0.1442594680639342,0.13431053923194103,604.14,604.07,604.31,607.91,0.20569738015765177,0.21564630898964493,-0.0316801684047278,-0.021731239572734637,0.21269682655560285,0.222645755387596
2025-10-09,52,10,0.14059958472345963,0.041461609275750266,0.5384615384615384,0.46153846153846156,0.2847294774131848,607.91,609.75,609.75,0.30267638301721966,0.30267638301721966,609.91,609.79,609.8,608.51,-0.16207679829376004,-0.16207679829376004,-0.01794690560403489,-0.01794690560403489,-0.2612147737414694,-0.2612147737414694
2025-10-10,45,9,0.11687206080311582,0.12601222938357637,0.5777777777777777,0.4222222222222222,0.4996293100755851,608.51,609.68,609.59,0.19227292895760417,0.17748270365318675,609.36,608.7,609.64,597.28,-0.07540086815448835,-0.06061064285007092,0.3073563811179809,0.32214660642239834,-0.0662606995740278,-0.05147047426961038
2025-10-13,69,10,0.3858326098796976,0.26632700324225045,0.6956521739130435,0.30434782608695654,0.3119459068577546,597.28,598.92,598.92,0.27457808732922473,0.27457808732922473,598.59,598.55,598.27,599.57,0.11125452255047286,0.11125452255047286,0.037367819528529855,0.037367819528529855,-0.00825108408697428,-0.00825108408697428
2025-10-14,60,9,-0.6354909801088013,-0.7133700917257235,0.23333333333333334,0.7666666666666667,-0.7762010436812435,599.57,594.38,594.55,-0.865620361258912,-0.8372667078072826,594.48,593.72,591.64,597.77,0.2301293811501106,0.2017757276984813,0.08941931757766841,0.06106566412603909,0.15225026953318843,0.12389661608155911
2025-10-15,63,10,0.9439035585479608,0.9933494660958164,0.873015873015873,0.12698412698412698,0.4831989442582585,597.77,601.23,601.17,0.5788179400103788,0.5687806346922786,601.3,601.8,601.6,601.43,0.36508561853758204,0.37512292385568224,-0.0956189957521203,-0.08558169043402009,0.41453152608543764,0.42456883140353785
2025-10-16,52,9,0.5716127758413923,0.3042878924436443,0.6730769230769231,0.3269230769230769,0.5463700990510585,601.43,603.43,603.39,0.33254077781288416,0.32588996225662026,603.22,603.52,603.75,601.29,0.2390719980285081,0.245722813584772,0.21382932123817433,0.22048013679443823,-0.028252885369239866,-0.021602069812975966
2025-10-17,78,10,-1.7637023826645004,-1.5913268148451232,0.08974358974358974,0.9102564102564102,-1.8322975086302005,601.29,591.57,591.56,-1.616524472384362,-1.6181875634053489,591.07,590.95,592.75,599.75,-0.1471779102801385,-0.14551481925915155,-0.21577303624583855,-0.2141099452248516,0.02519765753923875,0.02686074856022569
2025-10-20,52,9,0.9185469202596728,0.7411449968810269,0.7884615384615384,0.21153846153846154,1.0493126267946158,599.75,605.0,605.0,0.8753647353063831,0.8753647353063831,604.71,604.98,603.91,610.36,0.043182184953289626,0.043182184953289626,0.17394789148823264,0.17394789148823264,-0.13421973842535628,-0.13421973842535628
