variant,branch_type,symbol,reaction_date,timing,surprise_pct,peak_vs_prev_close_pct,total_return_pct,max_drawdown_pct,sharpe_ratio,total_trades,short_return_pct,long_return_pct,short_entry_time,short_exit_time,long_entry_time,long_exit_time,short_outcome,long_outcome
conditional_broad_sexitrebound_sreb0.5_smin1.5_lentryema_turn_lmom0.25_lexitema_roll,short_plus_conditional_long,INTC,2026-04-24,amc,2108.68,28.92403192432753,0.653,0.0,9.1651,1,0.733319264858223,,2026-04-24T13:01:00,2026-04-24T13:21:00,,,Counter-signal exit,
conditional_broad_sexitrebound_sreb0.5_smin1.5_lentryema_turn_lmom0.25_lexitema_roll,short_plus_conditional_long,STX,2026-04-29,amc,16.56,22.28070175438597,-0.456,-0.456,-9.1651,1,-0.3762227238525207,,2026-04-29T13:02:00,2026-04-29T13:09:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,MU,2024-09-26,amc,5.88,20.779083306869907,-0.905,-0.905,-9.1651,1,-0.8246488445854199,,2024-09-26T13:35:00,2024-09-26T13:38:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,RBLX,2024-10-31,bmo,4.3,24.64504213321021,-2.625,-3.052,-5.8105,2,0.5205205205205308,-2.985600000000005,2024-10-31T13:30:00,2024-10-31T13:35:00,2024-10-31T13:36:00,2024-10-31T13:40:00,Counter-signal exit,SL hit
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,TEAM,2024-11-01,amc,19.01,23.28608315329081,0.125,-1.554,0.4162,2,1.78460445707182,-1.5000000000000022,2024-11-01T13:28:00,2024-11-01T13:39:00,2024-11-01T13:40:00,2024-11-01T13:51:00,Counter-signal exit,SL hit
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,PLTR,2025-02-04,amc,23.72,31.16182063550483,-2.009,-2.009,-9.1652,1,-1.9285657654800583,,2025-02-04T14:30:00,2025-02-04T14:32:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,APP,2025-05-08,amc,21.79,20.761087943813216,-1.063,-1.063,-9.1651,1,-0.9827078412504022,,2025-05-08T13:48:00,2025-05-08T13:51:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,APLD,2025-07-31,amc,85.94,38.89986564451118,-4.718,-4.718,-9.1652,1,-4.638387778319535,,2025-07-31T13:30:00,2025-07-31T13:31:00,,,SL hit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,IDXX,2025-08-04,bmo,9.97,28.065212536291217,-0.617,-0.617,-9.1651,1,-0.5368015827978099,,2025-08-04T13:36:00,2025-08-04T13:38:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,APLD,2025-10-10,amc,80.65,38.79111900532859,-1.242,-1.242,-9.1652,1,-1.162395301452933,,2025-10-10T13:11:00,2025-10-10T13:13:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,DDOG,2025-11-06,bmo,20.33,21.975088967971512,-2.094,-2.094,-9.1652,1,-2.0139113015413597,,2025-11-06T14:25:00,2025-11-06T14:30:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,DDOG,2026-02-10,bmo,6.33,21.12103262311025,-1.392,-1.392,-9.1652,1,-1.3124301898835136,,2026-02-10T14:28:00,2026-02-10T14:30:00,,,Counter-signal exit,
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,AXON,2026-02-25,amc,34.51,27.47722260072287,0.052,-1.625,0.2151,2,1.7846555199810328,-1.5725811025720997,2026-02-25T13:56:00,2026-02-25T14:07:00,2026-02-25T14:08:00,2026-02-25T14:11:00,Counter-signal exit,SL hit
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,INTC,2026-04-24,amc,2108.68,28.92403192432753,2.141,0.0,10.3715,2,0.733319264858223,1.5674362089915022,2026-04-24T13:01:00,2026-04-24T13:21:00,2026-04-24T13:22:00,2026-04-24T13:42:00,Counter-signal exit,Counter-signal exit
conditional_broad_sexitema_turn_sreb0.5_smin0.5_lentrynext_bar_lmom0.00_lexittime_20,short_plus_conditional_long,STX,2026-04-29,amc,16.56,22.28070175438597,-0.456,-0.456,-9.1651,1,-0.3762227238525207,,2026-04-29T13:02:00,2026-04-29T13:09:00,,,Counter-signal exit,
