symbol,direction,regime,entry_time_et,exit_time_et,entry_date_et,entry_weekday,entry_bucket_30m,entry_hour_et,leveraged_return_pct,pnl,hold_minutes,outcome,win
GLD,Long,spike_momentum_long,2025-05-15 11:57:00-04:00,2025-05-16 06:51:00-04:00,2025-05-15,Thursday,11:30,11,-1.2000000000000042,-12.800000000000042,1134.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-05-16 08:06:00-04:00,2025-05-28 19:14:00-04:00,2025-05-16,Friday,08:00,8,3.150814053127676,30.708140531276758,17948.0,Trail stop,1.0
GLD,Long,spike_momentum_long,2025-06-12 09:43:00-04:00,2025-06-20 04:00:00-04:00,2025-06-12,Thursday,09:30,9,-1.2000000000000026,-12.800000000000027,11177.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-07-01 07:30:00-04:00,2025-07-03 08:44:00-04:00,2025-07-01,Tuesday,07:30,7,-1.200000000000008,-12.80000000000008,2954.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-07-11 10:54:00-04:00,2025-07-15 12:13:00-04:00,2025-07-11,Friday,10:30,10,-1.2000000000000075,-12.800000000000075,5839.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-07-15 14:37:00-04:00,2025-07-25 10:52:00-04:00,2025-07-15,Tuesday,14:30,14,0.04907241719313776,-0.30927582806862247,14175.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-08-01 09:14:00-04:00,2025-10-17 10:03:00-04:00,2025-08-01,Friday,09:00,9,26.671808665780862,265.9180866578086,110929.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2025-10-28 08:03:00-04:00,2025-10-28 18:07:00-04:00,2025-10-28,Tuesday,08:00,8,0.1472557264578853,0.6725572645788529,604.0,Trail stop,1.0
GLD,Long,shock_rebound_long,2025-10-29 08:01:00-04:00,2025-10-29 11:50:00-04:00,2025-10-29,Wednesday,08:00,8,-0.64095745184254,-7.2095745184254,229.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-11-10 07:54:00-05:00,2025-11-14 07:19:00-05:00,2025-11-10,Monday,07:30,7,0.40779530690706906,3.2779530690706906,5725.0,Trail stop,1.0
GLD,Short,intraday_pullback_short,2025-11-14 08:01:00-05:00,2025-11-14 08:26:00-05:00,2025-11-14,Friday,08:00,8,1.2000000000000006,8.468544000000005,25.0,TP hit,1.0
GLD,Long,spike_momentum_long,2025-11-19 04:56:00-05:00,2025-11-19 12:04:00-05:00,2025-11-19,Wednesday,04:30,4,-1.1999999999999948,-12.79999999999995,428.0,Trail stop,0.0
GLD,Long,spike_momentum_long,2025-11-19 12:11:00-05:00,2025-12-29 08:50:00-05:00,2025-11-19,Wednesday,12:00,12,8.479167223454576,83.99167223454577,57399.0,Trail stop,1.0
