,symbol,regime,direction,entry_price,exit_price,outcome,return_pct (%),PnL ($),entry_time,exit_time,notes
281,UVXY,normal,Long,108,109.46739675174015,TP hit,1.3587006960556978,12.787006960556978,2025-01-14T21:08:00.000,2025-01-15T09:00:00.000,Entry: Long @ 108.0000 (next-bar open) | regime=normal | SL=107.6684 | TP=109.4674
280,UVXY,normal,Long,108.79,108.43027584042119,SL hit,-0.3306592146142271,-4.106592146142271,2025-01-14T21:02:00.000,2025-01-14T21:04:00.000,Entry: Long @ 108.7900 (next-bar open) | regime=normal | SL=108.4303 | TP=110.1561
279,UVXY,normal,Long,109,108.67180026921505,SL hit,-0.3011006704449038,-3.8110067044490386,2025-01-14T20:58:00.000,2025-01-14T21:01:00.000,Entry: Long @ 109.0000 (next-bar open) | regime=normal | SL=108.6718 | TP=110.2530
278,UVXY,normal,Short,109.57,110.09270658557121,SL hit,-0.47705264723118934,-5.570526472311893,2025-01-14T19:57:00.000,2025-01-14T19:58:00.000,Entry: Short @ 109.5700 (next-bar open) | regime=normal | SL=110.0927 | TP=107.7478
277,UVXY,normal,Long,107.17,106.66253734839295,SL hit,-0.47351185183078903,-5.535118518307891,2025-01-14T18:44:00.000,2025-01-14T18:51:00.000,Entry: Long @ 107.1700 (next-bar open) | regime=normal | SL=106.6625 | TP=108.4731
276,UVXY,normal,Long,107.9,107.49439441513765,SL hit,-0.3759087904192374,-4.559087904192374,2025-01-14T18:38:00.000,2025-01-14T18:40:00.000,Entry: Long @ 107.9000 (next-bar open) | regime=normal | SL=107.4944 | TP=109.1218
275,UVXY,normal,Short,109.5,109.81055750109226,SL hit,-0.28361415624864117,-3.6361415624864115,2025-01-14T16:03:00.000,2025-01-14T16:04:00.000,Entry: Short @ 109.5000 (next-bar open) | regime=normal | SL=109.8106 | TP=107.6951
274,UVXY,normal,Long,106.48,105.80791388827522,SL hit,-0.631185304024024,-7.11185304024024,2025-01-14T15:12:00.000,2025-01-14T15:16:00.000,Entry: Long @ 106.4800 (next-bar open) | regime=normal | SL=105.8079 | TP=108.2987
273,UVXY,normal,Long,107.7,108.83447331786543,TP hit,1.0533642691415301,9.7336426914153,2025-01-14T14:42:00.000,2025-01-14T14:47:00.000,Entry: Long @ 107.7000 (next-bar open) | regime=normal | SL=107.2763 | TP=108.8345
272,UVXY,normal,Long,114.05,113.44373182967378,SL hit,-0.5315810349199624,-6.1158103491996245,2025-01-13T18:02:00.000,2025-01-13T18:35:00.000,Entry: Long @ 114.0500 (next-bar open) | regime=normal | SL=113.4437 | TP=115.9878
271,UVXY,normal,Long,118.76,118.26486000093414,SL hit,-0.4169248897489643,-4.969248897489643,2025-01-13T15:39:00.000,2025-01-13T15:45:00.000,Entry: Long @ 118.7600 (next-bar open) | regime=normal | SL=118.2649 | TP=120.7562
270,UVXY,normal,Long,115.85,115.44565589972756,SL hit,-0.3490238241453943,-4.2902382414539435,2025-01-10T17:27:00.000,2025-01-10T17:29:00.000,Entry: Long @ 115.8500 (next-bar open) | regime=normal | SL=115.4457 | TP=117.1495
269,UVXY,normal,Long,115.15,114.46743899205646,SL hit,-0.5927581484529291,-6.72758148452929,2025-01-10T15:24:00.000,2025-01-10T15:26:00.000,Entry: Long @ 115.1500 (next-bar open) | regime=normal | SL=114.4674 | TP=117.4510
268,UVXY,normal,Long,103.93,105.34672736892738,TP hit,1.3631553631553626,12.831553631553623,2025-01-08T19:29:00.000,2025-01-08T19:32:00.000,Entry: Long @ 103.9300 (next-bar open) | regime=normal | SL=103.4666 | TP=105.3467
267,UVXY,normal,Long,107.6,107.13131463132345,SL hit,-0.43558119765478254,-5.155811976547826,2025-01-08T15:55:00.000,2025-01-08T15:56:00.000,Entry: Long @ 107.6000 (next-bar open) | regime=normal | SL=107.1313 | TP=109.4177
266,UVXY,normal,Long,108.6,108.2111756240545,SL hit,-0.3580334953457546,-4.380334953457546,2025-01-08T15:51:00.000,2025-01-08T15:52:00.000,Entry: Long @ 108.6000 (next-bar open) | regime=normal | SL=108.2112 | TP=110.1665
265,UVXY,normal,Long,106.7,107.85142088014985,TP hit,1.0791198501872938,9.991198501872939,2025-01-08T11:52:00.000,2025-01-08T12:02:00.000,Entry: Long @ 106.7000 (next-bar open) | regime=normal | SL=106.2960 | TP=107.8514
264,UVXY,normal,Long,101.25,100.75815395808617,SL hit,-0.48577386855687044,-5.657738685568704,2025-01-07T18:07:00.000,2025-01-07T18:21:00.000,Entry: Long @ 101.2500 (next-bar open) | regime=normal | SL=100.7582 | TP=102.6896
263,UVXY,normal,Long,100.4,101.52693877551022,TP hit,1.1224489795918442,10.42448979591844,2025-01-07T16:48:00.000,2025-01-07T16:50:00.000,Entry: Long @ 100.4000 (next-bar open) | regime=normal | SL=100.0633 | TP=101.5269
